Id,0,Categoria
2560,0,NULL
1793,0,NULL
1794,0,NULL
1541,0,NULL
1286,0,NULL
1799,0,NULL
2568,0,NULL
1545,0,NULL
2316,0,NULL
2317,0,NULL
1807,0,NULL
1296,0,NULL
2397,0,NULL
1554,0,NULL
2691,0,NULL
2580,0,NULL
1557,0,NULL
1303,0,NULL
2328,0,NULL
1817,0,NULL
2331,0,NULL
1308,0,NULL
2077,0,NULL
2309,0,NULL
1568,0,NULL
1798,0,NULL
1831,0,NULL
2742,0,NULL
2567,0,NULL
1327,0,NULL
2809,0,NULL
1971,0,NULL
2539,0,NULL
2654,0,NULL
2283,0,NULL
1801,0,NULL
1337,0,NULL
1338,0,NULL
2271,0,NULL
1598,0,NULL
2111,0,NULL
1600,0,NULL
1857,0,NULL
2114,0,NULL
1860,0,NULL
2230,0,NULL
1350,0,NULL
2572,0,NULL
2122,0,NULL
2103,0,NULL
2129,0,NULL
2130,0,NULL
1363,0,NULL
1977,0,NULL
2392,0,NULL
2669,0,NULL
1371,0,NULL
2141,0,NULL
1886,0,NULL
1888,0,NULL
1889,0,NULL
2363,0,NULL
2569,0,NULL
1254,0,NULL
2662,0,NULL
1640,0,NULL
2153,0,NULL
1898,0,NULL
1643,0,NULL
1644,0,NULL
2066,0,NULL
2670,0,NULL
2415,0,NULL
1904,0,NULL
1137,0,NULL
1907,0,NULL
1652,0,NULL
1982,0,NULL
2510,0,NULL
1401,0,NULL
1660,0,NULL
2429,0,NULL
1662,0,NULL
1301,0,NULL
2217,0,NULL
1856,0,NULL
2178,0,NULL
2246,0,NULL
1924,0,NULL
1651,0,NULL
1927,0,NULL
2185,0,NULL
1931,0,NULL
1677,0,NULL
1934,0,NULL
2157,0,NULL
1681,0,NULL
1939,0,NULL
1685,0,NULL
1688,0,NULL
2403,0,NULL
2432,0,NULL
1438,0,NULL
1952,0,NULL
2211,0,NULL
2512,0,NULL
1957,0,NULL
2214,0,NULL
1959,0,NULL
1820,0,NULL
2218,0,NULL
2219,0,NULL
1197,0,NULL
2333,0,NULL
2725,0,NULL
1203,0,NULL
1972,0,NULL
2229,0,NULL
1718,0,NULL
1207,0,NULL
2232,0,NULL
1721,0,NULL
2110,0,NULL
2491,0,NULL
2493,0,NULL
1470,0,NULL
2239,0,NULL
2240,0,NULL
1824,0,NULL
2242,0,NULL
2499,0,NULL
2244,0,NULL
1734,0,NULL
1481,0,NULL
1226,0,NULL
1524,0,NULL
2238,0,NULL
2509,0,NULL
2256,0,NULL
1747,0,NULL
2004,0,NULL
1237,0,NULL
1529,0,NULL
1752,0,NULL
2265,0,NULL
2266,0,NULL
2012,0,NULL
2525,0,NULL
2014,0,NULL
2213,0,NULL
2273,0,NULL
2366,0,NULL
2531,0,NULL
1766,0,NULL
2385,0,NULL
2024,0,NULL
2420,0,NULL
2282,0,NULL
1003,0,NULL
2541,0,NULL
2033,0,NULL
2035,0,NULL
1268,0,NULL
1781,0,NULL
1270,0,NULL
1193,0,NULL
1784,0,NULL
1785,0,NULL
1786,0,NULL
1531,0,NULL
1532,0,NULL
